image_path,epoch,class,distance
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-310/class_0_invasivo/gen_invasivo_00215.png,310,invasivo,61.284107
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_0_invasivo/gen_invasivo_00285.png,335,invasivo,65.00701
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-310/class_1_in_situ/gen_in_situ_00489.png,310,in_situ,65.49475
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-400/class_0_invasivo/gen_invasivo_00347.png,400,invasivo,68.448814
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_1_in_situ/gen_in_situ_00495.png,335,in_situ,69.45361
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-385/class_1_in_situ/gen_in_situ_00266.png,385,in_situ,69.84908
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-400/class_1_in_situ/gen_in_situ_00363.png,400,in_situ,70.037
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-385/class_1_in_situ/gen_in_situ_00352.png,385,in_situ,70.56123
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-385/class_1_in_situ/gen_in_situ_00409.png,385,in_situ,71.09551
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_1_in_situ/gen_in_situ_00032.png,335,in_situ,71.69211
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-310/class_0_invasivo/gen_invasivo_00337.png,310,invasivo,71.952095
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_1_in_situ/gen_in_situ_00099.png,335,in_situ,73.353935
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-400/class_0_invasivo/gen_invasivo_00332.png,400,invasivo,74.382935
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_0_invasivo/gen_invasivo_00398.png,335,invasivo,74.49039
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-385/class_0_invasivo/gen_invasivo_00406.png,385,invasivo,75.254845
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-300/class_0_invasivo/gen_invasivo_00240.png,300,invasivo,75.27149
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-300/class_0_invasivo/gen_invasivo_00266.png,300,invasivo,75.34616
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_1_in_situ/gen_in_situ_00419.png,335,in_situ,76.78009
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_0_invasivo/gen_invasivo_00259.png,335,invasivo,76.92937
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_0_invasivo/gen_invasivo_00063.png,335,invasivo,77.87841
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_0_invasivo/gen_invasivo_00296.png,335,invasivo,77.9402
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-310/class_1_in_situ/gen_in_situ_00043.png,310,in_situ,78.007164
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_0_invasivo/gen_invasivo_00353.png,335,invasivo,78.16424
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-310/class_0_invasivo/gen_invasivo_00437.png,310,invasivo,78.465836
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_0_invasivo/gen_invasivo_00455.png,335,invasivo,78.48171
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-400/class_1_in_situ/gen_in_situ_00224.png,400,in_situ,78.54386
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-400/class_0_invasivo/gen_invasivo_00314.png,400,invasivo,78.62447
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-400/class_0_invasivo/gen_invasivo_00183.png,400,invasivo,78.94489
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-400/class_0_invasivo/gen_invasivo_00071.png,400,invasivo,79.087654
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-385/class_0_invasivo/gen_invasivo_00309.png,385,invasivo,79.23909
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-300/class_0_invasivo/gen_invasivo_00287.png,300,invasivo,79.703255
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-300/class_0_invasivo/gen_invasivo_00215.png,300,invasivo,80.30038
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-385/class_1_in_situ/gen_in_situ_00099.png,385,in_situ,80.521385
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-385/class_1_in_situ/gen_in_situ_00283.png,385,in_situ,80.545525
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-335/class_0_invasivo/gen_invasivo_00017.png,335,invasivo,80.97294
/content/drive/MyDrive/TFG/imagenes-generadas/GAN-outputs-310/class_0_invasivo/gen_invasivo_00147.png,310,invasivo,81.20937
